emp_name,department,salary,age,performance_rating,city,remote_work,join_date_only,tenure_years,age_group
Employee_1,Engineering,60820.29,51,4.0,Pune,No,2018-01-01,8,46-60
Employee_2,Unassigned,48271.19,30,3.0,Delhi,No,2018-01-08,8,18-30
Employee_3,HR,98590.99,55,2.0,Mumbai,No,2018-01-16,8,46-60
Employee_4,Marketing,71410.54,56,3.0,Mumbai,No,2018-01-24,8,46-60
Employee_5,Sales,23547.43,43,4.0,Chennai,Yes,2018-02-01,8,31-45
Employee_6,Sales,56253.8,45,3.0,Chennai,No,2018-02-09,8,31-45
Employee_7,Sales,48087.84,38,5.0,Pune,Yes,2018-02-17,8,31-45
Employee_8,HR,75343.8,31,4.0,Pune,No,2018-02-24,8,31-45
Employee_9,Marketing,59856.49,51,3.0,Bangalore,No,2018-03-04,8,46-60
Employee_10,HR,57934.74,42,4.0,Pune,Yes,2018-03-12,8,31-45
Employee_11,Sales,69089.77,53,4.0,Bangalore,Yes,2018-03-20,8,46-60
Employee_12,Unassigned,67557.79000000001,38,3.0,Delhi,No,2018-03-28,8,31-45
Employee_13,Finance,38394.66,38,3.0,Chennai,No,2018-04-05,8,31-45
Employee_14,Sales,53978.98,35,1.0,Delhi,Yes,2018-04-12,8,31-45
Employee_15,Sales,51450.98,30,4.0,Pune,No,2018-04-20,8,18-30
Employee_16,Sales,48240.07,42,4.0,Delhi,No,2018-04-28,8,31-45
Employee_17,Engineering,91778.18,46,4.0,Delhi,No,2018-05-06,8,46-60
Employee_18,Engineering,67289.67,30,5.0,Delhi,Yes,2018-05-14,8,18-30
Employee_19,Engineering,37304.09,43,5.0,Pune,No,2018-05-22,8,31-45
Employee_20,Engineering,76521.52,25,4.0,Delhi,No,2018-05-29,8,18-30
Employee_21,Marketing,98198.81,47,5.0,Bangalore,Yes,2018-06-06,8,46-60
Employee_22,Sales,78584.37,50,3.0,Pune,Yes,2018-06-14,8,46-60
Employee_23,Engineering,32651.34,55,2.0,Delhi,No,2018-06-22,8,46-60
Employee_24,Engineering,51283.79,44,3.0,Pune,Yes,2018-06-30,8,31-45
Employee_25,Engineering,82804.4,58,2.0,Mumbai,Unknown,2018-07-08,8,46-60
Employee_26,HR,47261.95,32,4.0,Bangalore,Unknown,2018-07-15,8,31-45
Employee_27,Sales,67988.75,27,5.0,Delhi,No,2018-07-23,8,18-30
Employee_28,Engineering,73943.41,39,1.0,Mumbai,No,2018-07-31,8,31-45
Employee_29,Marketing,43315.25,42,2.0,Mumbai,No,2018-08-08,8,31-45
Employee_30,Sales,58928.54,57,4.0,Pune,No,2018-08-16,8,46-60
Employee_31,Marketing,1657.19,59,5.0,Mumbai,Yes,2018-08-24,8,46-60
Employee_32,Sales,41561.02,55,3.0,Bangalore,No,2018-08-31,8,46-60
Employee_33,Sales,55453.77,38,4.0,Bangalore,No,2018-09-08,8,31-45
Employee_34,Finance,37539.9,58,1.0,Chennai,No,2018-09-16,8,46-60
Employee_35,Unassigned,89383.4,46,2.0,Bangalore,No,2018-09-24,8,46-60
Employee_36,Finance,34257.46,59,4.0,Mumbai,No,2018-10-02,7,46-60
Employee_37,Engineering,52079.2,33,4.0,Bangalore,Yes,2018-10-10,7,31-45
Employee_38,Sales,62353.33,42,1.0,Pune,No,2018-10-17,7,31-45
Employee_39,Marketing,85942.92,43,4.0,Chennai,No,2018-10-25,7,31-45
Employee_40,Engineering,34154.48,42,4.0,Mumbai,Yes,2018-11-02,7,31-45
Employee_41,Sales,80936.95,48,5.0,Chennai,Yes,2018-11-10,7,46-60
Employee_42,Engineering,60184.2,52,4.0,Mumbai,No,2018-11-18,7,46-60
Employee_43,Sales,42332.84,27,4.0,Pune,Yes,2018-11-26,7,18-30
Employee_44,Finance,62111.89,48,4.0,Chennai,No,2018-12-03,7,46-60
Employee_45,Engineering,63583.07,55,4.0,Delhi,Yes,2018-12-11,7,46-60
Employee_46,Marketing,49196.1,33,2.0,Mumbai,Unknown,2018-12-19,7,31-45
Employee_47,Engineering,61256.44,28,1.0,Delhi,Yes,2018-12-27,7,18-30
Employee_48,Engineering,53064.36,31,3.0,Chennai,No,2019-01-04,7,31-45
Employee_49,Engineering,62043.31,38,4.0,Delhi,No,2019-01-12,7,31-45
Employee_50,Sales,71918.35,47,3.0,Delhi,No,2019-01-19,7,46-60
Employee_51,Unassigned,88548.3,42,4.0,Chennai,Yes,2019-01-27,7,31-45
Employee_52,HR,37719.32,49,4.0,Pune,No,2019-02-04,7,46-60
Employee_53,Finance,98394.6,23,2.0,Delhi,No,2019-02-12,7,18-30
Employee_54,Finance,24862.42,22,4.0,Delhi,No,2019-02-20,7,18-30
Employee_55,Marketing,57267.87,57,4.0,Pune,Yes,2019-02-28,7,46-60
Employee_56,Finance,70589.71,47,5.0,Delhi,Yes,2019-03-07,7,46-60
Employee_57,Sales,65057.85,50,3.0,Delhi,Yes,2019-03-15,7,46-60
Employee_58,Sales,48791.41,42,4.0,Delhi,No,2019-03-23,7,31-45
Employee_59,Sales,56253.8,32,5.0,Bangalore,No,2019-03-31,7,31-45
Employee_60,Engineering,51125.98,32,5.0,Pune,Yes,2019-04-08,7,31-45
Employee_61,Engineering,49391.43,57,4.0,Delhi,No,2019-04-16,7,46-60
Employee_62,Engineering,75292.84,56,4.0,Pune,Yes,2019-04-24,7,46-60
Employee_63,Finance,66426.28,55,4.0,Mumbai,No,2019-05-01,7,46-60
Employee_64,Engineering,47527.63,45,5.0,Mumbai,Yes,2019-05-09,7,31-45
Employee_65,Engineering,76192.8,43,4.0,Delhi,No,2019-05-17,7,31-45
Employee_66,Engineering,65531.39,26,1.0,Pune,Yes,2019-05-25,7,18-30
Employee_67,Sales,74631.52,54,5.0,Pune,Unknown,2019-06-02,7,46-60
Employee_68,Finance,71333.32,42,4.0,Pune,Yes,2019-06-10,7,31-45
Employee_69,Sales,45078.09,42,4.0,Bangalore,Yes,2019-06-17,7,31-45
Employee_70,Unassigned,49916.74,40,3.0,Mumbai,Yes,2019-06-25,7,31-45
Employee_71,HR,73451.28,56,4.0,Pune,Yes,2019-07-03,7,46-60
