emp_name,department,join_date,salary,age,performance_rating,city,remote_work
Employee_1,Engineering,2018-01-01 00:00:00,60820.29,51,4,Pune,No
Employee_2,,2018-01-08 20:04:01,48271.19,30,3,Delhi,No
Employee_3,HR,2018-01-16 16:08:02,98590.99,55,2,Mumbai,No
Employee_4,Marketing,2018-01-24 12:12:02,71410.54,56,3,Mumbai,No
Employee_5,Sales,2018-02-01 08:16:03,23547.43,43,4,Chennai,yes
Employee_6,Sales,2018-02-09 04:20:04,,45,3,Chennai,NO
Employee_7,Sales,2018-02-17 00:24:05,48087.84,38,5,Pune,Yes
Employee_8,HR,2018-02-24 20:28:06,75343.8,31,4,Pune,NO
Employee_9,Marketing,2018-03-04 16:32:06,,51,3,Bangalore,No
Employee_10,HR,2018-03-12 12:36:07,57934.74,,4,Pune,Yes
Employee_11,Sales,2018-03-20 08:40:08,69089.77,53,4,Bangalore,Yes
Employee_12,,2018-03-28 04:44:09,,38,3,Delhi,No
Employee_13,Finance,2018-04-05 00:48:10,38394.66,38,3,Chennai,NO
Employee_14,Sales,2018-04-12 20:52:10,53978.98,35,1,Delhi,yes
Employee_15,Sales,2018-04-20 16:56:11,51450.98,30,4,Pune,NO
Employee_16,Sales,2018-04-28 13:00:12,48240.07,,4,Delhi,No
Employee_17,Engineering,2018-05-06 09:04:13,91778.18,46,4,Delhi,No
Employee_18,Engineering,2018-05-14 05:08:14,67289.67,30,5,Delhi,Yes
Employee_19,Engineering,2018-05-22 01:12:14,37304.09,43,5,Pune,No
Employee_20,Engineering,2018-05-29 21:16:15,76521.52,25,4,Delhi,No
Employee_21,Marketing,2018-06-06 17:20:16,98198.81,47,5,Bangalore,Yes
Employee_22,Sales,2018-06-14 13:24:17,78584.37,50,3,Pune,Yes
Employee_23,Engineering,2018-06-22 09:28:18,32651.34,55,2,Delhi,No
Employee_24,Engineering,2018-06-30 05:32:18,51283.79,44,3,Pune,yes
Employee_25,Engineering,2018-07-08 01:36:19,82804.4,58,2,Mumbai,nan
Employee_26,HR,2018-07-15 21:40:20,47261.95,32,4,Bangalore,nan
Employee_27,Sales,2018-07-23 17:44:21,67988.75,27,5,Delhi,No
Employee_28,Engineering,2018-07-31 13:48:22,73943.41,39,1,Mumbai,No
Employee_29,Marketing,2018-08-08 09:52:22,43315.25,42,2,Mumbai,No
Employee_30,Sales,2018-08-16 05:56:23,58928.54,57,4,Pune,NO
Employee_31,Marketing,2018-08-24 02:00:24,1657.19,59,5,Mumbai,Yes
Employee_32,Sales,2018-08-31 22:04:25,41561.02,55,3,Bangalore,No
Employee_33,Sales,2018-09-08 18:08:26,55453.77,38,4,Bangalore,NO
Employee_34,Finance,2018-09-16 14:12:26,37539.9,58,1,Chennai,No
Employee_35,,2018-09-24 10:16:27,89383.4,46,2,Bangalore,No
Employee_36,Finance,2018-10-02 06:20:28,34257.46,59,,Mumbai,No
Employee_37,Engineering,2018-10-10 02:24:29,52079.2,33,,Bangalore,Yes
Employee_38,Sales,2018-10-17 22:28:30,62353.33,,1,Pune,No
Employee_39,Marketing,2018-10-25 18:32:31,85942.92,43,,Chennai,No
Employee_40,Engineering,2018-11-02 14:36:31,34154.48,42,4,Mumbai,Yes
Employee_41,Sales,2018-11-10 10:40:32,80936.95,48,5,Chennai,Yes
Employee_42,Engineering,2018-11-18 06:44:33,60184.2,52,4,Mumbai,NO
Employee_43,Sales,2018-11-26 02:48:34,42332.84,27,4,Pune,Yes
Employee_44,Finance,2018-12-03 22:52:35,,48,4,Chennai,No
Employee_45,Engineering,2018-12-11 18:56:35,63583.07,55,4,Delhi,Yes
Employee_46,Marketing,2018-12-19 15:00:36,49196.1,33,2,Mumbai,nan
Employee_47,Engineering,2018-12-27 11:04:37,61256.44,28,1,Delhi,Yes
Employee_48,Engineering,2019-01-04 07:08:38,53064.36,31,3,Chennai,No
Employee_49,Engineering,2019-01-12 03:12:39,62043.31,38,4,Delhi,NO
Employee_50,Sales,2019-01-19 23:16:39,71918.35,47,3,Delhi,NO
Employee_51,,2019-01-27 19:20:40,88548.3,42,4,Chennai,Yes
Employee_52,HR,2019-02-04 15:24:41,37719.32,49,,Pune,NO
Employee_53,Finance,2019-02-12 11:28:42,98394.6,23,2,Delhi,No
Employee_54,Finance,2019-02-20 07:32:43,24862.42,22,4,Delhi,No
Employee_55,Marketing,2019-02-28 03:36:43,57267.87,57,4,Pune,Yes
Employee_56,Finance,2019-03-07 23:40:44,70589.71,47,5,Delhi,Yes
Employee_57,Sales,2019-03-15 19:44:45,65057.85,50,3,Delhi,yes
Employee_58,Sales,2019-03-23 15:48:46,48791.41,42,4,Delhi,No
Employee_59,Sales,2019-03-31 11:52:47,56253.8,32,5,Bangalore,No
Employee_60,Engineering,2019-04-08 07:56:47,51125.98,32,5,Pune,yes
Employee_61,Engineering,2019-04-16 04:00:48,49391.43,57,4,Delhi,NO
Employee_62,Engineering,2019-04-24 00:04:49,75292.84,56,4,Pune,Yes
Employee_63,Finance,2019-05-01 20:08:50,66426.28,55,4,Mumbai,No
Employee_64,Engineering,2019-05-09 16:12:51,47527.63,45,5,Mumbai,Yes
Employee_65,Engineering,2019-05-17 12:16:51,76192.8,43,4,Delhi,NO
Employee_66,Engineering,2019-05-25 08:20:52,65531.39,26,1,Pune,yes
Employee_67,Sales,2019-06-02 04:24:53,74631.52,54,5,Pune,nan
Employee_68,Finance,2019-06-10 00:28:54,71333.32,,4,Pune,Yes
Employee_69,Sales,2019-06-17 20:32:55,45078.09,,4,Bangalore,Yes
Employee_70,,2019-06-25 16:36:55,49916.74,40,3,Mumbai,Yes
Employee_71,HR,2019-07-03 12:40:56,73451.28,56,4,Pune,Yes
Employee_72,Sales,2019-07-11 08:44:57,70986.66,38,3,Pune,Yes
Employee_73,Sales,2019-07-19 04:48:58,59623.77,55,4,Bangalore,nan
Employee_74,Finance,2019-07-27 00:52:59,62111.89,30,2,Bangalore,Yes
Employee_75,HR,2019-08-03 20:56:59,82997.97,47,4,Pune,Yes
Employee_76,HR,2019-08-11 17:01:00,49351.72,23,,Chennai,NO
Employee_77,HR,2019-08-19 13:05:01,69847.75,30,1,Pune,No
Employee_78,Sales,2019-08-27 09:09:02,56360.53,,,Pune,NO
Employee_79,Engineering,2019-09-04 05:13:03,56081.74,38,4,Bangalore,Yes
Employee_80,Sales,2019-09-12 01:17:03,79777.98,22,5,Bangalore,No
Employee_81,Finance,2019-09-19 21:21:04,74857.49,46,5,Pune,Yes
Employee_82,Marketing,2019-09-27 17:25:05,,46,4,Pune,Yes
Employee_83,Engineering,2019-10-05 13:29:06,83498.62,56,4,Pune,nan
Employee_84,Sales,2019-10-13 09:33:07,60378.07,24,5,Bangalore,Yes
Employee_85,MARKETING,2019-10-21 05:37:07,72275.15,58,4,Pune,No
Employee_86,Engineering,2019-10-29 01:41:08,54415.2,51,3,Pune,No
Employee_87,HR,2019-11-05 21:45:09,65834.99,59,4,Delhi,No
Employee_88,Marketing,2019-11-13 17:49:10,57657.43,55,5,Chennai,NO
Employee_89,Finance,2019-11-21 13:53:11,61745.93,,5,Mumbai,Yes
Employee_90,Engineering,2019-11-29 09:57:11,70712.83,40,5,Chennai,yes
Employee_91,Sales,2019-12-07 06:01:12,45272.03,58,4,Delhi,nan
Employee_92,HR,2019-12-15 02:05:13,97662.97,38,5,Mumbai,No
Employee_93,HR,2019-12-22 22:09:14,,31,2,Pune,nan
Employee_94,Marketing,2019-12-30 18:13:15,38144.6,33,4,Delhi,Yes
Employee_95,HR,2020-01-07 14:17:15,80846,37,1,Pune,No
Employee_96,Engineering,2020-01-15 10:21:16,74249.93,45,3,Bangalore,Yes
Employee_97,Engineering,2020-01-23 06:25:17,71234.16,40,3,Delhi,yes
Employee_98,Engineering,2020-01-31 02:29:18,71310.22,,3,Bangalore,nan
Employee_99,Sales,2020-02-07 22:33:19,59779.56,52,4,Delhi,Yes
Employee_100,Sales,2020-02-15 18:37:19,43849.42,42,3,Delhi,yes
Employee_101,Sales,2020-02-23 14:41:20,61364.48,38,4,Bangalore,Yes
Employee_102,Marketing,2020-03-02 10:45:21,47811.09,44,3,Mumbai,No
Employee_103,Engineering,2020-03-10 06:49:22,77552.16,58,3,Chennai,No
Employee_104,Engineering,2020-03-18 02:53:23,57352.97,37,3,Pune,nan
Employee_105,Finance,2020-03-25 22:57:23,45141.05,27,2,Delhi,No
Employee_106,Sales,2020-04-02 19:01:24,54215.05,29,4,Pune,No
Employee_107,Engineering,2020-04-10 15:05:25,67432.77,46,4,Bangalore,Yes
Employee_108,HR,2020-04-18 11:09:26,49852.96,39,4,Pune,Yes
Employee_109,Sales,2020-04-26 07:13:27,45200.03,46,4,Bangalore,Yes
Employee_110,Sales,2020-05-04 03:17:27,64386.37,33,3,Pune,Yes
Employee_111,Engineering,2020-05-11 23:21:28,64409.4,36,5,Chennai,NO
Employee_112,Sales,2020-05-19 19:25:29,50875.02,47,4,Chennai,No
Employee_113,Finance,2020-05-27 15:29:30,51521.31,47,4,Chennai,No
Employee_114,Finance,2020-06-04 11:33:31,64176.9,53,1,Chennai,Yes
Employee_115,ENGINEERING,2020-06-12 07:37:32,33934.48,31,3,Chennai,NO
Employee_116,Finance,2020-06-20 03:41:32,34665.65,37,3,Chennai,yes
Employee_117,Finance,2020-06-27 23:45:33,47068,28,3,Bangalore,Yes
Employee_118,Sales,2020-07-05 19:49:34,56157.95,38,4,Delhi,yes
Employee_119,Finance,2020-07-13 15:53:35,65596.34,44,4,Pune,No
